metric,tr_size,set,std,median,mean,run0,file,run1,run2,run3,run4,run5,run6,run7,run8,run9
mean_absolute_error,128,te,0.2635942151908424,0.3690496520252796,0.4408768290123966,0.6815055206011019,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.17914370657474482,0.3780522091381733,0.16669819257977542,0.7832687321898497,0.7343334176191735,0.7359241020530587,0.2254190472551854,0.16437626720051693,0.360047094912386
mean_absolute_error,256,te,0.051435666090207575,0.16776258095268876,0.18855812398989502,0.15151291083331572,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.1688361929615193,0.17552347780762215,0.30260784107373523,0.15875714021173404,0.2649553687934716,0.16668896894385818,0.1714834636242934,0.1586810163067722,0.16653485934262838
mean_absolute_error,512,te,0.0215187346122828,0.15484409459086967,0.15281697227030727,0.18724053904924906,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.12878321136571752,0.13912837210758588,0.16454662897267114,0.1562446673752959,0.11710744642791995,0.15638936216833685,0.14551461497687293,0.17977135845298006,0.15344352180644344
mean_absolute_error,1024,te,0.026252752183629886,0.11063535230267138,0.12247970674906886,0.10127649964597664,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.1039853085024155,0.12172306522216607,0.11095516698710778,0.1797107264884652,0.11026349341033208,0.11031553761823497,0.1075109671661852,0.16074020100403127,0.1183161014457738
mean_absolute_error,2048,te,0.004521254011784756,0.09575797449755488,0.09581539011117472,0.09458582117887153,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.09191298247398436,0.08931215609984686,0.10382162158061446,0.09695718243174736,0.0924901194663916,0.09693012781623822,0.09227489470526053,0.09931390774821486,0.10055508761057766
mean_absolute_error,4096,te,0.0020002082086994165,0.08238030580333985,0.08286104607092981,0.0865618072870802,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.08114118700880439,0.08255224514630581,0.08591348474554468,0.08015702581451804,0.08262521501938329,0.08355115979349445,0.0822083664603739,0.08202598543983415,0.08187398399395912
mean_absolute_error,8192,te,0.0014831433073593994,0.07756921785667328,0.07734978667542204,0.07761273817572091,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.07845780234837334,0.07688653804718304,0.07899064448871691,0.07909771771145781,0.07752569753762566,0.07835296344504251,0.07527338119457047,0.07649051775645829,0.07480986604907139
mean_absolute_error,16384,te,0.001419734960475327,0.07250232920284683,0.0729688184209639,0.07171181915427652,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.07519492558519605,0.07252418966012894,0.07248046874556471,0.0714232889650699,0.07313898036108042,0.07243570000113157,0.0753533558783564,0.07156163483619085,0.07386382102264341
mean_absolute_error,32768,te,0.0007079008558804017,0.0688960494099904,0.06875366581973115,0.06825749368394064,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.06898827990299974,0.0695131236084682,0.0699053996156792,0.06811010564554441,0.06921719203749473,0.06890860335111962,0.06888349546886119,0.0676564526898767,0.0680965121933269
mean_absolute_error,65536,te,0.0005865233872783495,0.06443759080538963,0.06454927058698472,0.06368244386617575,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.06434033379698853,0.06520693301789966,0.06453484781379075,0.06383796080182179,0.06526803325520361,0.06499349111486423,0.06415882915126818,0.0642728399555406,0.06519699309629415
mean_absolute_error,88416,te,0.0006355462936226552,0.06254633671334159,0.06250352880553194,0.062172363488548175,/vol/ml/apartin/projects/LearningCurves/trn.gdsc/split_on_none/nn_reg0/run_01/lrn_crv_scores.csv,0.062242562403723764,0.06300513532381752,0.06170851874383861,0.0628198742172013,0.06352728738769257,0.06265931958206054,0.062433353844622626,0.06144267842197521,0.06302419464183898
