metric,tr_size,set,std,median,mean,run0,file,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
mean_absolute_error,128,te,0.003664507572351842,0.10394550859561104,0.10223334208489142,0.09775371646498587,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.10465725031457958,0.10471323403836856,0.10535586101997807,0.09403714282015092,0.10214735468704236,0.10394550859561104,0.1011539098655492,0.10043095936310494,0.10469698769461984,0.1056748380698152
mean_absolute_error,256,te,0.004515888179791718,0.09471764642384192,0.0955872490657221,0.09085469421456276,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.0956557502421605,0.09388769500832134,0.10472006413309386,0.09260483069802734,0.09512812876465504,0.10328707631185964,0.09471764642384192,0.0933457418224172,0.0910414563902608,0.09621665571374263
mean_absolute_error,512,te,0.0017536600229631097,0.08862241855569873,0.08862914351390862,0.09056363926500267,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.08989798569888785,0.08812736690449932,0.08514815379675991,0.08779548423418207,0.09074961267558992,0.08862241855569873,0.09006596529570023,0.08732201408660115,0.08970479522119235,0.08692314291888067
mean_absolute_error,1024,te,0.0017359440661274329,0.08129629765999018,0.08133169661048857,0.08129629765999018,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.0816698639745856,0.08326927149097654,0.08080565416390177,0.07993897593941418,0.07972699463639935,0.07927430847768746,0.08315657870286433,0.08432535654181995,0.08198128086455699,0.07920408026317786
mean_absolute_error,2048,te,0.0011115826118167488,0.07433796690160675,0.0743839759794196,0.07432536510848327,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.07538450742431912,0.07638899546563345,0.07433796690160675,0.07220562141435434,0.0746514975987988,0.07383606915210869,0.07447372911082872,0.07522604669511182,0.0731719232506286,0.07422201365174222
mean_absolute_error,4096,te,0.00124554440274406,0.06723143674389367,0.06737762479804245,0.06935817579158092,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.06790194890111137,0.06668769507781704,0.06830175595403493,0.06723143674389367,0.06846286402659818,0.06602123994541279,0.06627259235212311,0.06883841356184595,0.06610169539488131,0.0659760550291677
mean_absolute_error,8192,te,0.0007643535959404667,0.06134890889417316,0.06118645685012492,0.0619092242030558,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.062406434731197474,0.06170632050628797,0.06134890889417316,0.0606593563926472,0.06141153425238415,0.05975969523909519,0.0617913533023705,0.0604991326448011,0.060753607468358464,0.060805457717003186
mean_absolute_error,16384,te,0.0007516442416580408,0.05535288665715039,0.05546970451273545,0.05535288665715039,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.05580767969918241,0.05483925962974616,0.055439108205501526,0.05597177098011842,0.056894941239045926,0.054631031374143935,0.05459520339760773,0.055077011185882915,0.05649533552952452,0.055062521742185976
mean_absolute_error,32768,te,0.0009687759026614939,0.05173734650644829,0.051731273335860625,0.05405116412309483,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.051504113205508836,0.05138753819035128,0.0522609672083482,0.05173734650644829,0.052139561740834624,0.05119020486245285,0.05117236295746742,0.0517414264443554,0.0500648190613644,0.05179450239424065
mean_absolute_error,65536,te,0.0009833865730121381,0.048481436240470265,0.04885408161584654,0.04868070888556714,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.04930998632158864,0.0484295199760696,0.048416357216582696,0.048481436240470265,0.05001522991049369,0.04798502612967987,0.04961612370937976,0.05085735561957911,0.04786863801063068,0.047734515754270485
mean_absolute_error,131072,te,0.0011498707579962822,0.04625563121178114,0.04644474244605389,0.047204365033713364,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.04784781265041207,0.04595250642957861,0.047047471720373546,0.04868761525634945,0.045248824086735286,0.04491563653635934,0.04636399649623889,0.04625563121178114,0.045493524671708495,0.04587478281334258
mean_absolute_error,213015,te,0.0006016430406500515,0.04502949427416355,0.04480411540319177,0.04464586045116418,/vol/ml/apartin/projects/LearningCurves/trn.top6/split_on_none/nn_reg0/run_00/lrn_crv_scores.csv,0.04420813830579071,0.04561062366237963,0.04475320011076346,0.045125548082952965,0.04408760862429977,0.04513064351268272,0.0452218121525796,0.04502949427416355,0.045374088978567734,0.043658251279765116
